[0.063s] Invoking command in '/home/jsc/ros2_ws/build/a_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jsc/ros2_ws/install/robot_sensor_distance:/home/jsc/ros2_ws/install/robot_nav2:/home/jsc/ros2_ws/install/robot_distancia:/home/jsc/ros2_ws/install/robot_controller:/home/jsc/ros2_ws/install/motor_gui_pkg:/home/jsc/Aros2duino/install/aros2duino:/opt/ros/humble /usr/bin/cmake --build /home/jsc/ros2_ws/build/a_gazebo -- -j12 -l12
[0.394s] -- Found ament_cmake: 1.3.10 (/opt/ros/humble/share/ament_cmake/cmake)
[0.396s] -- Override CMake install command with custom implementation using symlinks instead of copying resources
[0.396s] -- Found gazebo_ros_pkgs: 3.7.0 (/opt/ros/humble/share/gazebo_ros_pkgs/cmake)
[0.397s] -- Found geometry_msgs: 4.2.4 (/opt/ros/humble/share/geometry_msgs/cmake)
[0.397s] -- Found rosidl_generator_c: 3.1.5 (/opt/ros/humble/share/rosidl_generator_c/cmake)
[0.398s] -- Found rosidl_adapter: 3.1.5 (/opt/ros/humble/share/rosidl_adapter/cmake)
[0.399s] -- Found rosidl_generator_cpp: 3.1.5 (/opt/ros/humble/share/rosidl_generator_cpp/cmake)
[0.399s] -- Using all available rosidl_typesupport_c: rosidl_typesupport_fastrtps_c;rosidl_typesupport_introspection_c
[0.399s] -- Using all available rosidl_typesupport_cpp: rosidl_typesupport_fastrtps_cpp;rosidl_typesupport_introspection_cpp
[0.400s] -- Found nav_msgs: 4.2.4 (/opt/ros/humble/share/nav_msgs/cmake)
[0.400s] -- Found rclcpp: 16.0.10 (/opt/ros/humble/share/rclcpp/cmake)
[0.400s] -- Found rmw_implementation_cmake: 6.1.2 (/opt/ros/humble/share/rmw_implementation_cmake/cmake)
[0.401s] -- Found rmw_fastrtps_cpp: 6.2.7 (/opt/ros/humble/share/rmw_fastrtps_cpp/cmake)
[0.514s] -- Using RMW implementation 'rmw_fastrtps_cpp' as default
[0.578s] -- Found sensor_msgs: 4.2.4 (/opt/ros/humble/share/sensor_msgs/cmake)
[0.608s] -- Found tf2: 0.25.8 (/opt/ros/humble/share/tf2/cmake)
[0.686s] -- Configuring done
[0.688s] -- Generating done
[0.690s] -- Build files have been written to: /home/jsc/ros2_ws/build/a_gazebo
[1.816s] Invoked command in '/home/jsc/ros2_ws/build/a_gazebo' returned '0': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jsc/ros2_ws/install/robot_sensor_distance:/home/jsc/ros2_ws/install/robot_nav2:/home/jsc/ros2_ws/install/robot_distancia:/home/jsc/ros2_ws/install/robot_controller:/home/jsc/ros2_ws/install/motor_gui_pkg:/home/jsc/Aros2duino/install/aros2duino:/opt/ros/humble /usr/bin/cmake --build /home/jsc/ros2_ws/build/a_gazebo -- -j12 -l12
[1.841s] Invoking command in '/home/jsc/ros2_ws/build/a_gazebo': CMAKE_PREFIX_PATH=${CMAKE_PREFIX_PATH}:/home/jsc/ros2_ws/install/robot_sensor_distance:/home/jsc/ros2_ws/install/robot_nav2:/home/jsc/ros2_ws/install/robot_distancia:/home/jsc/ros2_ws/install/robot_controller:/home/jsc/ros2_ws/install/motor_gui_pkg:/home/jsc/Aros2duino/install/aros2duino:/opt/ros/humble /usr/bin/cmake --install /home/jsc/ros2_ws/build/a_gazebo
[1.853s] -- Install configuration: ""
[1.853s] -- Execute custom install script
[1.854s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//launch/bringup_launch.py
[1.854s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//launch/gazebo_sim_launch_rf2o.py
[1.854s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//launch/jsc_cart_slam_launch.py
[1.854s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//launch/robot_state_publisher_launch.py
[1.854s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//launch/rviz_launch.py
[1.854s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//rviz/nav2_default_view.rviz
[1.855s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//maps/mapa1.pgm
[1.855s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//maps/mapa1.yaml
[1.855s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo//params/nav2_params.yaml
[1.855s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/lib/a_gazebo/bringup_launch.py
[1.855s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/lib/a_gazebo/robot_state_publisher_launch.py
[1.855s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/lib/a_gazebo/rviz_launch.py
[1.856s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/lib/a_gazebo/jsc_cart_slam_launch.py
[1.856s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/lib/a_gazebo/gazebo_sim_launch_rf2o.py
[1.856s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/ament_index/resource_index/package_run_dependencies/a_gazebo
[1.856s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/ament_index/resource_index/parent_prefix_path/a_gazebo
[1.856s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/environment/ament_prefix_path.sh
[1.856s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/environment/ament_prefix_path.dsv
[1.856s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/environment/path.sh
[1.857s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/environment/path.dsv
[1.857s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/local_setup.bash
[1.857s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/local_setup.sh
[1.858s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/local_setup.zsh
[1.858s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/local_setup.dsv
[1.858s] -- Symlinking: /home/jsc/ros2_ws/install/a_gazebo/share/a_gazebo/package.dsv
[1.872s] -- Up-to-date symlink: /home/jsc/ros2_ws/install/a_gazebo/share/ament_index/resource_index/packages/a_gazebo
